title	type	url_slug	venue	date	location	talk_url	description
Comprehensive Analysis of Single Cell Epigenomic Data	Invited lecture	talk-10	Cold Spring Harbor Laboratory (CSHL)	2021-11-19	Cold Spring Harbor, NY 11724	https://meetings.cshl.edu/courses.aspx?course=c-seqtec&year=20	Over the last decade, massively parallel DNA sequencing has markedly impacted the practice of modern biology and is being utilized in the practice of medicine. In this invited lecture, I teached general analysis techniques of single-cell sequencing data, including data QC, cell clustering, peak calling and some downstream analysis along with some examples from my recent work. In the end, I touched little bit about integrative analysis of single cell mutli-ome data, including MERFISH, 10x multiome, snm3C-seq and Paired-Tag.
An Atlas of Gene Regulatory Elements in Adult Mouse Cerebrum	Invited talk	talk-9	Duke Single Cell Initiative (SCI) Seminar, Molecular Physiology Institute, Duke University	2021-10-26	Durham, NC 27701	https://dmpi.duke.edu/duke-single-cell-initiative-sci	Single cell and spatial profiling is a field of dynamic, rapidly developing research that is changing the way we view previously intractable problems and which allows for the generation of completely new hypotheses. The intent of Duke SCI (“sky”) RIP is to create an environment in which ongoing research will be presented in two 30-minute talks by wet and dry lab investigators. I was invited to introduce our current effort on the comprehensive analysis of gene regulatory programs in the mouse brain, which can assist in interpreting noncoding risk variants that contribute to various neurological diseases and traits in humans.
Comprehensive Analysis of Gene Regulation in Adult Mouse Cerebrum	Invited talk	talk-8	SD research association	2021-10-29	Virtual meeting @San Diego		I was invited to introduce our current effort on the comprehensive analysis of gene regulatory programs in the mouse brain, and the general analysis techniques of single-cell sequencing data.
An Atlas of Gene Regulatory Elements in Adult Mouse Cerebrum	Talk	talk-7	ENCODE Monthly Meeting	2021-10-08	Virtual meeting @San Diego		I was invited to introduce our current effort on the comprehensive analysis of gene regulatory programs in the mouse brain, which can assist in interpreting noncoding risk variants that contribute to various neurological diseases and traits in humans.
Exploring Single-cell Epigenetic Cell Atlas through Cis-element Atlas (CATlas) web portal	Talk	talk-6	BICCN Data Exploration Workshop - 2021	2021-10-01	Virtual meeting @San Diego	https://nemoarchive.org/biccn-omics-workshop/	The Data Exploration workshop will focus on the query and exploration of analyzed data associated with genes and cells. This workshop is geared for the biologist and will provide instruction on the use of a variety of tools for interrogating and visualizing BICCN data. Attendees will approach data in a global as well as local context through hands-on exercises employing various tools. 
Comparative Analysis of Open Chromatin in Human and Mouse Cortex	Joint talk	talk-5	The 7th BRAIN Initiative Cell Census Network (BICCN) Spring 2021 Virtual Meeting	2021-06-08	Virtual meeting @San Diego	https://alleninstitute.org/what-we-do/brain-science/events-training/biccn-spring-2021-virtual-meeting/	Updates about BICCN 2.0 project
BRAIN Data Standards Grant Workshop	Talk	talk-4	The 7th annual Brain Research through Advancing Innovative Neurotechnologies (BRAIN)® Initiative Investigators Meeting	2021-06-15	Virtual meeting @San Diego	https://www.braininitiative.org/achievements/the-7th-annual-brain-initiative-investigators-meeting/	Introducting Cis-element Atlas (CATlas) web portal
BICCN 2.0 A Whole Mouse Brain Cell Atlas - Initial Results	Joint talk	talk-3	The 6th BRAIN Initiative Cell Census Network (BICCN) Spring 2020 Virtual Meeting	2020-06-03	Virtual meeting @San Diego	https://alleninstitute.org/what-we-do/brain-science/events-training/biccn-spring-2020-virtual-meeting/	Updates about whole mouse brain project (version 1.0)
Scientific Advances of the Mini-atlas	Joint talk	talk-2	The 6th annual Brain Research through Advancing Innovative Neurotechnologies (BRAIN)® Initiative Investigators Meeting	2020-06-01	Virtual meeting @San Diego	https://braininitiative.nih.gov/News-Events/event/6th-annual-brain-initiative-investigators-meeting	Updates about whole mouse brain project (version 1.0)
Single Cell Analysis of Gene Regulatory Elements in the Mouse Brain	Talk	talk-1	Neuroscience 2019, Society for Neuroscience	2019-10-19	Chicago, IL	https://www.sfn.org/meetings/neuroscience-2019	The mammalian brain consists of hundreds of cell types that work together to carry out the diverse neurological functions. To understand how neuro circuits form and how their functions are supported by various non-neuronal cell types, it is important to identify and characterize the cis-regulatory sequences in each cell type.  Here, we employed a combinatorial barcoding-assisted single-cell assay for transposase-accessible chromatin (sci-ATAC-seq) to profile chromatin accessibility in more than 1,000,000 cells from 26 cortical and subcortical regions of the rostral mouse brain. The resulting chromatin accessibility maps reveal 125 cellular taxonomy in the neocortex, olfactory bulb, hippocampus, basal ganglia and striatum, and delineate highly cell-type specific usage of ~350k potential regulatory DNA elements. Further integrative analysis uncovers transcription factor networks involved in each cell type, and potential cell types involved in human neurological disease. This rich resource of chromatin accessibility in the mouse brain at single cell resolution lays the foundation for understanding the gene regulatory program in the mammalian brain.
Single Cell Analysis of Gene Regulatory Elements in the Mouse Brain	Poster	poster-2	The 5th annual Brain Research through Advancing Innovative Neurotechnologies (BRAIN)® Initiative Investigators Meeting	2019-04-11	Washington, DC	https://www.nimh.nih.gov/news/science-news/2019/fifth-annual-brain-initiative-investigators-meeting	Initial results about whole mouse brain project (version 1.0)
